num_ingredients,num_steps,desc_len,vote_count,instr_len,ingr_len,time_cue_count,cuisine,course,diet,total_time_min,is_quick
11,8,522,292,1497,165,2,Continental,Appetizer,Vegetarian,55.0,0
12,13,735,2874,1359,221,9,Tamil Nadu,Main Course,Vegetarian,25.0,1
12,13,593,3264,1456,192,7,North Indian Recipes,Appetizer,Vegetarian,35.0,1
10,12,678,5502,1478,184,8,Other,Dinner,Vegetarian,45.0,1
14,12,812,4097,907,227,1,Tamil Nadu,Lunch,Vegetarian,70.0,0
12,13,580,1077,978,201,6,Other,Lunch,Vegetarian,20.0,1
7,6,593,398,578,90,4,Other,Appetizer,Vegetarian,20.0,1
11,11,358,1542,1235,169,2,Other,Side Dish,Vegetarian,30.0,1
12,19,500,624,1899,175,12,Mexican,Appetizer,Non Vegeterian,40.0,1
12,8,494,803,831,216,2,Other,Dinner,Vegetarian,40.0,1
12,13,602,7238,1565,198,2,Maharashtrian Recipes,Indian Breakfast,Diabetic Friendly,60.0,0
8,8,586,2929,644,104,1,Continental,Dessert,Vegetarian,11.0,1
25,18,669,1201,1702,410,5,North Indian Recipes,Dinner,Vegan,75.0,0
10,11,418,2150,755,172,1,South Indian Recipes,Lunch,Eggetarian,25.0,1
7,11,788,15,1204,108,10,Other,Side Dish,Vegetarian,25.0,1
7,10,469,16,795,112,4,North Indian Recipes,Side Dish,Diabetic Friendly,15.0,1
9,15,637,634,1818,150,13,Other,Appetizer,Vegetarian,55.0,0
9,15,495,918,1130,179,6,Indian,Snack,Vegetarian,30.0,1
12,14,618,5875,1677,141,7,Other,Appetizer,High Protein Non Vegetarian,50.0,0
16,13,609,3173,1584,247,5,Other,Side Dish,Vegetarian,60.0,0
9,11,585,789,934,104,7,Continental,Appetizer,Vegetarian,25.0,1
17,15,628,3289,1677,279,14,Kerala Recipes,Main Course,Eggetarian,40.0,1
13,14,488,529,1433,204,4,Italian Recipes,Appetizer,High Protein Non Vegetarian,30.0,1
12,7,902,1270,715,204,5,Mexican,Snack,Vegetarian,25.0,1
8,9,540,1311,705,128,0,Continental,Dinner,Vegetarian,35.0,1
11,12,1155,4356,1075,209,6,Tamil Nadu,Main Course,Vegetarian,25.0,1
9,18,544,259,2594,123,10,Other,Dinner,Vegetarian,90.0,0
15,13,514,1172,1218,259,5,North Indian Recipes,Main Course,Vegetarian,50.0,0
15,20,446,15205,1683,292,14,Rajasthani,Dinner,Non Vegeterian,50.0,0
11,10,510,2754,881,197,6,South Indian Recipes,Lunch,Vegetarian,40.0,1
14,14,891,2136,1655,181,6,Other,Main Course,Vegetarian,45.0,1
6,7,616,617,725,79,2,Other,Appetizer,Vegetarian,30.0,1
25,29,924,1772,3323,422,4,Indian,Lunch,Vegetarian,90.0,0
10,7,351,1839,812,160,4,Karnataka,Lunch,High Protein Vegetarian,30.0,1
13,7,982,3320,772,198,1,Kerala Recipes,Lunch,Vegetarian,40.0,1
10,12,908,3911,911,117,0,Indian,World Breakfast,Eggetarian,30.0,1
7,6,996,12501,849,137,5,Continental,Dessert,Vegetarian,30.0,1
13,8,451,746,678,235,2,Other,Lunch,Vegetarian,35.0,1
5,11,576,1126,1254,65,5,Continental,Dessert,Vegetarian,375.0,0
8,7,1013,1872,991,150,7,Continental,Appetizer,Vegetarian,40.0,1
11,11,617,1443,1341,164,5,Kerala Recipes,Lunch,Vegetarian,30.0,1
20,12,676,1484,1083,336,9,Andhra,Side Dish,Vegetarian,30.0,1
16,13,570,12091,1369,267,3,Kerala Recipes,Lunch,Vegetarian,50.0,0
10,22,533,2316,1940,166,13,South Indian Recipes,South Indian Breakfast,Gluten Free,520.0,0
10,13,517,1940,1211,174,4,Kerala Recipes,Side Dish,Vegetarian,30.0,1
11,17,541,630,1513,133,7,Other,Appetizer,Non Vegeterian,50.0,0
14,11,679,444,1301,275,12,South Indian Recipes,Lunch,High Protein Vegetarian,165.0,0
13,11,524,1807,990,193,6,South Indian Recipes,Lunch,Vegetarian,30.0,1
17,11,679,3501,1293,277,9,Other,Lunch,Vegetarian,40.0,1
12,12,810,3729,997,234,3,Other,Lunch,Vegetarian,60.0,0
16,11,590,1600,1185,245,6,Karnataka,Lunch,Vegetarian,30.0,1
12,12,511,497,1145,166,1,Continental,Snack,Eggetarian,70.0,0
9,10,438,8098,1101,117,12,Other,Lunch,Vegetarian,45.0,1
12,12,730,6076,1211,209,9,Bengali Recipes,Lunch,High Protein Vegetarian,40.0,1
9,19,637,3714,2425,136,12,Gujarati Recipes﻿,Dessert,Vegetarian,80.0,0
14,18,993,25507,1669,163,6,Other,Appetizer,High Protein Non Vegetarian,65.0,0
7,6,568,856,644,93,0,Italian Recipes,Appetizer,Vegetarian,45.0,1
7,12,541,1902,940,96,8,Other,Lunch,Vegetarian,30.0,1
8,14,521,16984,1166,139,7,North Indian Recipes,Dinner,Vegetarian,50.0,0
7,4,549,298,450,82,3,Continental,Side Dish,Vegetarian,55.0,0
25,14,769,965,2176,409,9,Gujarati Recipes﻿,Lunch,Vegetarian,40.0,1
9,8,689,1152,619,132,1,Other,Dinner,Vegetarian,30.0,1
13,9,400,487,990,200,6,Indian,Side Dish,Vegetarian,50.0,0
6,6,524,978,573,74,5,Other,Side Dish,Vegetarian,30.0,1
10,9,329,943,672,130,1,Indian,Lunch,Vegetarian,50.0,0
9,11,344,923,677,129,3,Italian Recipes,Lunch,Vegetarian,35.0,1
10,11,623,1652,1188,198,3,Gujarati Recipes﻿,Side Dish,Vegetarian,30.0,1
10,8,591,953,942,131,2,Italian Recipes,Lunch,Vegetarian,55.0,0
11,8,323,595,610,180,0,South Indian Recipes,Lunch,Vegetarian,35.0,1
8,17,344,518,2002,105,7,Italian Recipes,Dinner,Vegetarian,150.0,0
7,15,692,1735,1853,128,7,Other,Side Dish,Vegetarian,70.0,0
12,12,601,2929,1024,155,4,Kerala Recipes,Lunch,Vegetarian,40.0,1
11,13,483,8693,1491,162,5,Karnataka,Lunch,Vegetarian,40.0,1
13,13,437,4052,1815,222,15,Other,Side Dish,Diabetic Friendly,45.0,1
14,9,383,4545,811,207,2,Other,Lunch,Vegetarian,35.0,1
12,15,593,409,2302,224,13,Other,Lunch,Vegetarian,50.0,0
17,14,582,11609,1403,283,3,Indian,Lunch,High Protein Vegetarian,55.0,0
7,7,600,995,651,100,2,Fusion,Appetizer,High Protein Vegetarian,15.0,1
10,13,496,2026,1110,143,8,Tamil Nadu,Side Dish,Vegetarian,20.0,1
7,17,369,1837,1744,110,9,Mexican,Side Dish,Vegetarian,270.0,0
13,13,526,2378,983,206,2,Kerala Recipes,Lunch,Vegetarian,25.0,1
19,8,566,445,1103,257,3,Fusion,Lunch,Vegetarian,80.0,0
14,18,974,3118,1729,214,6,Maharashtrian Recipes,Main Course,Diabetic Friendly,90.0,0
5,17,642,1242,994,85,2,Other,Main Course,High Protein Non Vegetarian,75.0,0
9,10,731,830,1367,151,1,Fusion,Appetizer,Vegetarian,20.0,1
8,8,445,814,912,101,0,Continental,World Breakfast,High Protein Non Vegetarian,20.0,1
11,10,319,452,1031,146,2,Karnataka,Side Dish,Vegetarian,15.0,1
8,9,349,4034,1183,101,2,Italian Recipes,Unknown,Vegetarian,40.0,1
19,9,630,5526,2272,338,23,Other,Side Dish,Vegetarian,70.0,0
18,12,408,1539,2274,299,11,Tamil Nadu,South Indian Breakfast,Vegetarian,230.0,0
12,16,512,2535,1649,161,6,Other,Appetizer,Non Vegeterian,35.0,1
14,15,525,2128,1420,288,8,Tamil Nadu,Side Dish,Vegetarian,60.0,0
25,13,582,2713,1201,393,5,Tamil Nadu,Lunch,Eggetarian,60.0,0
19,14,374,6750,1884,351,10,Other,Dinner,Vegetarian,55.0,0
16,9,545,19539,662,202,2,Kerala Recipes,Appetizer,Non Vegeterian,70.0,0
12,7,466,3759,667,195,3,Andhra,Side Dish,Vegetarian,90.0,0
7,7,481,1596,1055,112,6,Continental,Appetizer,Vegetarian,45.0,1
12,11,638,3227,1060,242,1,Gujarati Recipes﻿,Lunch,Vegetarian,25.0,1
6,10,341,220,1062,124,0,Other,Side Dish,Vegetarian,35.0,1
10,9,481,875,1046,161,9,Other,Lunch,High Protein Vegetarian,45.0,1
21,13,498,3563,928,353,0,Other,Side Dish,No Onion No Garlic (Sattvic),35.0,1
23,19,1070,1727,2032,333,5,Continental,Main Course,Vegetarian,75.0,0
9,5,525,826,529,130,0,Other,Side Dish,Vegetarian,25.0,1
14,14,478,3344,1146,227,9,North Indian Recipes,Lunch,High Protein Vegetarian,40.0,1
11,7,654,5221,567,172,3,Kerala Recipes,Side Dish,Vegetarian,30.0,1
9,8,469,2023,1308,113,6,Continental,Dinner,Vegetarian,30.0,1
10,12,586,5810,865,148,2,Other,Lunch,Non Vegeterian,30.0,1
12,10,594,1547,1247,207,8,Gujarati Recipes﻿,Lunch,Vegetarian,55.0,0
10,18,422,1225,1756,144,10,Other,Appetizer,Vegetarian,40.0,1
10,10,493,639,1343,120,12,Other,Dinner,Eggetarian,45.0,1
8,15,463,2831,1469,128,4,Bengali Recipes,Dinner,Vegetarian,45.0,1
12,14,492,1932,1168,204,9,Other,Side Dish,Vegetarian,40.0,1
7,5,540,952,520,73,1,Continental,World Breakfast,Diabetic Friendly,70.0,0
16,15,449,10017,1922,243,6,Tamil Nadu,Main Course,Non Vegeterian,55.0,0
9,11,772,793,1748,147,11,Italian Recipes,Dinner,Vegetarian,35.0,1
8,10,546,4669,1025,138,6,North Indian Recipes,Lunch,Vegetarian,30.0,1
12,12,1201,1248,924,178,4,Karnataka,Side Dish,High Protein Vegetarian,20.0,1
10,10,781,705,1018,111,2,Mexican,Appetizer,Vegetarian,60.0,0
11,11,609,597,1196,192,6,North Indian Recipes,Side Dish,Vegetarian,40.0,1
12,13,404,696,1329,207,7,South Indian Recipes,Lunch,High Protein Vegetarian,55.0,0
13,5,807,2427,981,223,5,Indian,Side Dish,Vegetarian,60.0,0
21,18,457,380,1934,276,6,Italian Recipes,Main Course,Vegetarian,55.0,0
12,7,422,3589,770,231,2,Continental,World Breakfast,Vegetarian,45.0,1
11,8,939,520,1156,198,0,Indian,Dinner,Vegetarian,30.0,1
10,15,608,604,1191,153,3,Other,Snack,Vegetarian,130.0,0
19,11,445,2679,699,276,2,Maharashtrian Recipes,Lunch,Non Vegeterian,50.0,0
10,16,486,201,1045,145,5,Italian Recipes,Main Course,Eggetarian,35.0,1
9,13,763,2611,1189,126,7,Andhra,Side Dish,High Protein Vegetarian,40.0,1
14,10,546,3713,1379,203,7,South Indian Recipes,Dinner,High Protein Vegetarian,40.0,1
3,11,625,2773,1351,36,4,North Indian Recipes,Lunch,Vegetarian,60.0,0
12,10,574,1223,885,171,6,Other,Lunch,High Protein Vegetarian,155.0,0
10,10,555,705,953,129,3,Italian Recipes,Appetizer,Vegetarian,25.0,1
18,22,632,1804,1582,234,6,Continental,Appetizer,Vegetarian,70.0,0
13,15,535,4429,1596,238,2,North Indian Recipes,Side Dish,Vegetarian,55.0,0
10,13,754,1265,882,165,7,Italian Recipes,Main Course,Vegetarian,45.0,1
9,7,422,754,752,163,5,Karnataka,Side Dish,Vegetarian,30.0,1
19,18,704,3397,2033,382,11,Other,Main Course,Vegetarian,40.0,1
14,10,614,5749,927,192,3,Other,Lunch,Vegetarian,40.0,1
10,9,791,874,873,148,10,Other,Lunch,Vegetarian,50.0,0
16,17,336,4629,1766,284,15,Rajasthani,Lunch,Vegetarian,70.0,0
8,9,388,890,698,100,1,Mexican,Side Dish,Vegetarian,30.0,1
13,10,383,1873,932,202,5,Karnataka,Dinner,Vegetarian,30.0,1
14,11,651,1883,1286,230,6,South Indian Recipes,Lunch,High Protein Vegetarian,40.0,1
8,9,649,1958,899,134,2,Continental,World Breakfast,Vegetarian,20.0,1
19,13,644,1036,1439,291,7,Fusion,Dinner,Vegetarian,75.0,0
9,8,545,1358,1210,154,2,Bengali Recipes,Dinner,Vegetarian,40.0,1
7,14,681,5346,2051,130,5,South Indian Recipes,Dessert,Vegetarian,120.0,0
8,21,740,6082,2425,127,9,South Indian Recipes,South Indian Breakfast,Vegetarian,30.0,1
7,13,328,2198,878,105,1,Indian,Lunch,No Onion No Garlic (Sattvic),40.0,1
15,15,334,2298,1607,303,11,South Indian Recipes,Lunch,Vegetarian,40.0,1
13,10,540,2869,1030,210,0,Indian,Appetizer,Non Vegeterian,35.0,1
8,8,523,1049,812,155,2,Italian Recipes,Dinner,Vegetarian,55.0,0
11,24,719,2208,2231,195,11,Andhra,Lunch,Diabetic Friendly,70.0,0
16,16,595,4312,1797,306,13,Andhra,Main Course,Vegetarian,35.0,1
11,12,440,1142,1369,141,5,North Indian Recipes,Lunch,Vegetarian,60.0,0
15,11,626,2853,1099,215,9,North Indian Recipes,Lunch,High Protein Vegetarian,30.0,1
22,22,949,2409,1714,404,4,Indian,Dinner,Vegetarian,65.0,0
17,7,595,2002,1224,339,5,South Indian Recipes,Lunch,Vegetarian,50.0,0
8,9,358,448,732,120,1,Italian Recipes,Dinner,Vegetarian,40.0,1
13,11,378,2129,985,188,6,North Indian Recipes,Lunch,High Protein Vegetarian,30.0,1
10,12,820,829,747,143,4,Other,Side Dish,High Protein Vegetarian,30.0,1
10,8,431,314,952,153,6,Italian Recipes,Dinner,Vegetarian,35.0,1
17,8,738,561,1022,327,1,Other,Appetizer,Vegetarian,85.0,0
13,14,426,255,1965,193,9,Other,World Breakfast,Eggetarian,85.0,0
11,16,483,2591,1309,160,3,Other,Main Course,Non Vegeterian,45.0,1
18,13,1138,6316,1442,316,6,Gujarati Recipes﻿,Main Course,Vegetarian,40.0,1
11,14,705,1809,1205,203,4,Other,Side Dish,Vegetarian,25.0,1
15,9,673,1847,1180,225,1,Other,Appetizer,Vegetarian,60.0,0
19,15,463,6378,1413,307,12,Other,Main Course,High Protein Non Vegetarian,35.0,1
8,10,632,4677,1304,93,6,Other,Dessert,Vegetarian,95.0,0
16,12,516,4452,1403,282,5,Maharashtrian Recipes,Side Dish,High Protein Vegetarian,30.0,1
15,13,524,2060,1301,288,9,Other,Side Dish,Vegetarian,30.0,1
14,9,661,870,862,222,1,North Indian Recipes,Lunch,High Protein Non Vegetarian,55.0,0
18,13,470,77822,1547,226,5,Andhra,Main Course,Non Vegeterian,40.0,1
5,7,886,2109,607,66,0,Continental,Appetizer,Vegetarian,40.0,1
19,16,569,21020,1530,247,4,Other,Appetizer,High Protein Non Vegetarian,40.0,1
25,18,725,2782,2155,410,9,Other,Appetizer,High Protein Non Vegetarian,35.0,1
13,16,636,1643,1408,174,5,Kerala Recipes,Dinner,High Protein Non Vegetarian,50.0,0
13,10,464,1936,1263,217,5,South Indian Recipes,Lunch,Vegetarian,20.0,1
16,14,393,785,960,193,2,Kerala Recipes,Lunch,Vegetarian,35.0,1
15,13,643,3254,1429,286,8,Other,Lunch,Diabetic Friendly,40.0,1
9,6,790,635,496,124,1,Other,Lunch,Non Vegeterian,25.0,1
4,5,406,1251,609,55,3,Continental,Appetizer,High Protein Vegetarian,45.0,1
11,13,901,272,1293,175,11,Mexican,Appetizer,Vegetarian,18.0,1
13,12,996,2118,855,214,5,Other,Lunch,High Protein Non Vegetarian,40.0,1
12,13,297,978,944,179,6,Indian,Side Dish,Vegetarian,40.0,1
10,7,472,1141,741,177,3,Tamil Nadu,Lunch,Vegetarian,40.0,1
22,16,486,499,1547,320,4,Other,Main Course,Non Vegeterian,45.0,1
10,16,525,633,1949,166,15,Italian Recipes,Main Course,Vegetarian,35.0,1
10,7,575,1306,913,124,2,Continental,Side Dish,Vegetarian,35.0,1
13,10,549,1381,748,219,0,Other,Dinner,Vegetarian,50.0,0
14,13,270,11721,1585,246,11,Kerala Recipes,South Indian Breakfast,High Protein Vegetarian,460.0,0
8,14,695,7585,2491,106,9,North Indian Recipes,Dessert,Vegetarian,540.0,0
12,12,439,8668,672,163,3,Indian,Side Dish,Vegetarian,35.0,1
13,7,415,888,1147,167,1,Italian Recipes,Dinner,Vegetarian,45.0,1
7,6,695,229,413,123,0,Continental,Appetizer,Vegetarian,20.0,1
23,18,817,6029,1544,357,4,North Indian Recipes,Lunch,Vegetarian,35.0,1
13,10,504,2352,981,206,7,North Indian Recipes,Lunch,Vegetarian,90.0,0
10,8,594,299,1077,157,7,Continental,Appetizer,Vegetarian,75.0,0
10,13,708,858,1038,161,3,Other,Side Dish,Vegetarian,15.0,1
23,22,353,1590,2800,399,13,North Indian Recipes,Side Dish,High Protein Vegetarian,65.0,0
8,13,437,2253,1731,149,4,Gujarati Recipes﻿,Main Course,Diabetic Friendly,45.0,1
9,9,1029,453,815,142,7,North Indian Recipes,Dinner,Non Vegeterian,70.0,0
7,13,562,899,979,128,3,Other,Side Dish,Vegetarian,85.0,0
10,12,461,376,1239,131,6,Indian,Lunch,Vegetarian,55.0,0
15,19,631,1182,2543,215,7,Italian Recipes,Lunch,Vegetarian,195.0,0
5,12,960,5032,1079,95,0,Indian,Main Course,Vegetarian,35.0,1
9,11,742,2003,697,162,3,Other,Side Dish,High Protein Vegetarian,30.0,1
19,11,586,337,1769,310,2,Mexican,Dinner,Vegetarian,60.0,0
6,10,385,11365,886,91,0,Other,Lunch,Vegetarian,30.0,1
6,5,394,1313,394,89,2,Other,Side Dish,Vegetarian,5.0,1
12,11,327,415,957,191,4,North Indian Recipes,Lunch,Vegetarian,20.0,1
10,10,544,6884,878,195,5,South Indian Recipes,Lunch,Vegetarian,30.0,1
11,9,642,739,1334,188,1,Other,Appetizer,Vegetarian,50.0,0
17,10,540,3758,1028,281,6,Other,Lunch,Vegetarian,45.0,1
10,6,246,3230,703,107,0,Continental,World Breakfast,Vegetarian,35.0,1
14,18,540,1437,1140,250,3,Other,Dinner,Non Vegeterian,50.0,0
10,9,526,1490,979,117,4,Other,Lunch,Vegetarian,105.0,0
15,9,632,1020,1303,193,11,Continental,Main Course,Eggetarian,55.0,0
11,13,657,3260,937,167,8,South Indian Recipes,South Indian Breakfast,Vegetarian,105.0,0
15,6,1138,10235,961,226,2,North Indian Recipes,Side Dish,Vegetarian,45.0,1
7,6,950,898,756,111,1,Indian,Indian Breakfast,Eggetarian,20.0,1
10,9,522,825,1015,131,4,Continental,World Breakfast,Eggetarian,45.0,1
26,16,620,10177,2071,444,15,South Indian Recipes,Lunch,Vegetarian,40.0,1
9,9,690,821,962,158,2,Continental,World Breakfast,Vegetarian,20.0,1
10,7,329,1278,847,155,3,Rajasthani,Dinner,Vegetarian,60.0,0
5,5,593,832,426,61,2,Continental,Side Dish,Vegetarian,17.0,1
14,7,402,719,1044,252,6,South Indian Recipes,Side Dish,High Protein Vegetarian,45.0,1
10,9,802,1898,570,138,1,Mexican,Dinner,Vegetarian,45.0,1
13,14,582,3869,1163,198,4,North Indian Recipes,Appetizer,Vegetarian,25.0,1
11,8,568,873,843,210,7,Continental,Appetizer,High Protein Non Vegetarian,40.0,1
12,10,503,1528,818,171,5,North Indian Recipes,Appetizer,High Protein Non Vegetarian,30.0,1
18,7,627,1576,876,320,6,Andhra,Main Course,Vegetarian,45.0,1
12,18,463,779,1941,163,12,Tamil Nadu,Lunch,Vegetarian,50.0,0
6,8,546,812,604,83,0,Other,Dinner,Non Vegeterian,20.0,1
10,8,440,2113,512,151,5,Rajasthani,Lunch,Vegetarian,20.0,1
9,22,495,326,2237,102,7,Bengali Recipes,Lunch,Non Vegeterian,45.0,1
7,9,654,528,896,111,1,Mexican,Appetizer,Vegetarian,25.0,1
12,9,519,632,705,172,4,South Indian Recipes,Side Dish,Vegetarian,20.0,1
13,12,501,970,1343,247,9,Tamil Nadu,Lunch,Vegetarian,35.0,1
5,12,840,2983,1318,70,3,Indian,Snack,Vegetarian,45.0,1
16,13,1167,932,1592,290,12,Bengali Recipes,Lunch,High Protein Vegetarian,55.0,0
5,9,901,9034,1103,94,2,Indian,Side Dish,Vegetarian,30.0,1
8,9,40,602,809,130,4,South Indian Recipes,Side Dish,Vegetarian,55.0,0
15,9,633,1481,908,266,6,Other,Lunch,Vegetarian,105.0,0
13,16,592,788,1610,222,7,North Indian Recipes,Snack,Vegetarian,60.0,0
17,20,734,6057,2443,260,3,Bengali Recipes,Snack,Vegetarian,60.0,0
15,13,457,4525,1419,245,4,North Indian Recipes,Snack,Vegetarian,120.0,0
15,10,901,1201,1512,237,4,North Indian Recipes,Lunch,Vegetarian,40.0,1
13,10,595,3569,1212,227,8,Other,Lunch,Vegetarian,55.0,0
5,12,643,3176,983,81,2,Indian,Indian Breakfast,Vegetarian,55.0,0
12,15,332,1806,1317,216,4,Tamil Nadu,Main Course,Vegetarian,30.0,1
14,13,583,699,1170,236,6,South Indian Recipes,Lunch,Vegetarian,45.0,1
7,6,755,1462,854,110,2,Other,Appetizer,Diabetic Friendly,20.0,1
12,9,626,784,1543,195,7,North Indian Recipes,Lunch,Vegetarian,35.0,1
12,11,581,880,1185,192,3,Other,Dinner,Vegetarian,225.0,0
19,15,1000,1932,1942,310,15,Other,Dinner,Non Vegeterian,60.0,0
11,9,510,225,1030,154,1,Italian Recipes,Appetizer,Vegetarian,55.0,0
12,6,549,6068,737,204,3,Tamil Nadu,South Indian Breakfast,Vegetarian,25.0,1
6,12,442,1167,1176,83,2,Indian,Snack,Vegetarian,45.0,1
18,16,612,291,1265,288,5,Italian Recipes,Lunch,Vegetarian,40.0,1
15,11,717,1794,945,270,1,Kerala Recipes,Side Dish,Vegetarian,40.0,1
8,7,416,532,768,83,1,Continental,Snack,Vegetarian,35.0,1
13,12,368,375,1033,209,2,Other,Appetizer,Non Vegeterian,55.0,0
10,16,426,2492,1590,154,5,Bengali Recipes,North Indian Breakfast,Vegetarian,80.0,0
